Word (ISO 15919),Meaning,Notes,Class,Stems,Gender,Number,Case,Person,Padam,Root,Preverbs,Tense-Mood,Class,Word (Dēvanāgarī),Anki Tags
08,hatáḥ,struck; beaten; killed,"The past passive participle of √<span class=""translit"">han</span>.",adj,"hatá-, hatā́-",m,sg,1,,,,,,,हतः,lesson-08 adjectives::participles::past-passive-participles
08,álpaḥ,"small, insignificant",,adj,álpa-,m,sg,1,,,,,,,अल्पः,lesson-08 adjectives
08,dīrgháḥ,long,,adj,dīrghá-,m,sg,1,,,,,,,दीर्घः,lesson-08 adjectives
08,adhikaḥ,"additional, excessive, a lot",,adj,adhika-,n,sg,1,,,,,,,अधिकः,lesson-08 adjectives
08,prasannaḥ,happy; clear; pleasant,"The past participle of <span class=""translit"">pra</span>√<span class=""translit"">sad</span>.",adj,prasanna-,m,sg,1,,,,,,,प्रसन्नः,lesson-08 adjectives::participles::past-passive-participles
08,viṣaṇṇaḥ,unhappy; dejected; upset,"The past participle of <span class=""translit"">vi</span>√<span class=""translit"">sad</span>.",adj,viṣaṇṇa-,m,sg,1,,,,,,,विषण्णः,lesson-08 adjectives::participles::past-passive-participles
08,prábhūtaḥ,abundant; plentiful,,adj,prábhūta-,m,sg,1,,,,,,,प्रभूतः,lesson-08 adjectives
08,śrámaḥ,"exertion, toil, labor",,noun,śráma-,m,sg,1,,,,,,,श्रमः,lesson-08 nouns
08,kāryám,"what is to be done; a deed, a task","An adjective (a so-called future passive participle or <span class=""translit"">kr̥tyaḥ</span>) used substantively.",noun,kāryá-,n,sg,1,,,,,,,कार्यम्,lesson-08 nouns
08,jánaḥ,people; a person,,noun,jána-,m,sg,1,,,,,,,जनः,lesson-08 nouns
08,hástaḥ,hand,,noun,hásta-,m,sg,1,,,,,,,हस्तः,lesson-08 nouns
08,bhayám,fear,"That of which one is afraid is usually put in the ablative (<span class=""translit"">pañcamī</span>).",noun,bhayá-,n,sg,1,,,,,,,भयम्,lesson-08 nouns
08,balam,strength,,noun,bala-,m,sg,1,,,,,,,बलम्,lesson-08 nouns
08,dēśáḥ,"region, place",,noun,dēśá-,m,sg,1,,,,,,,देशः,lesson-08 nouns
08,khaḍgáḥ,sword,,noun,khaḍgá-,m,sg,1,,,,,,,खड्गः,lesson-08 nouns
08,pā́śaḥ,noose,,noun,pā́śa-,m,sg,1,,,,,,,पाशः,lesson-08 nouns
08,mukham,mouth; face,,noun,mukha-,n,sg,1,,,,,,,मुखम्,lesson-08 nouns
08,sēnā́,army,,noun,sēnā́-,f,sg,1,,,,,,,सेना,lesson-08 nouns
08,bhaṭaḥ,soldier,,noun,bhaṭa-,m,sg,1,,,,,,,भटः,lesson-08 nouns
08,śōbhā́,beauty,,noun,śōbhā́-,f,sg,1,,,,,,,शोभा,lesson-08 nouns
08,samaráḥ,battle,,noun,samará-,m,sg,1,,,,,,,समरः,lesson-08 nouns
08,bāṇáḥ,arrow,,noun,bāṇá-,m,sg,1,,,,,,,बाणः,lesson-08 nouns
