Word (ISO 15919),Meaning,Notes,Class,Stems,Gender,Number,Case,Person,Padam,Root,Preverbs,Tense-Mood,Class,Word (Dēvanāgarī),Anki Tags
03,viśadaḥ,"clear, spotless (of water, words, conduct, etc.)",,adj,"viśada-, viśadā-",m,sg,1,,,,,,,विशदः,lesson-03 adjectives
03,vívidhaḥ,"various, of different types",,adj,"vívidha-, vívidhā-",m,sg,1,,,,,,,विविधः,lesson-03 adjectives
03,śrḗṣṭhaḥ,best,,adj,"śrḗṣṭha-, śrḗṣṭhā-",m,sg,1,,,,,,,श्रेष्ठः,lesson-03 adjectives
03,ramaṇīyaḥ,"charming, lovely","LIterally “enjoyable,” from the verbal root <span class=""translit"">ram</span> “enjoy.”",adj,"ramaṇīya-, ramaṇīyā-",m,sg,1,,,,,,,रमणीयः,lesson-03 adjectives
03,dhármaḥ,what is right; duty,"Derived from the verbal root <span class=""translit"">dhr̥</span> “hold fast.”",noun,dhárma-,m,sg,1,,,,,,,धर्मः,lesson-03 nouns
03,árthaḥ,meaning; thing; wealth; power; purpose,,noun,ártha-,m,sg,1,,,,,,,अर्थः,lesson-03 nouns
03,kā́maḥ,desire (especially sexual desire),,noun,kā́ma-,m,sg,1,,,,,,,कामः,lesson-03 nouns
03,mōkṣaḥ,liberation; release,"Derived from the verbal root <span class=""translit"">muc</span> “release.”",noun,mōkṣa-,m,sg,1,,,,,,,मोक्षः,lesson-03 nouns
03,śāstrám,teaching; systematic knowledge; (sacred) text,"Derived from the verbal root <span class=""translit"">śās</span> “teach.”",noun,śāstrá-,n,sg,1,,,,,,,शास्त्रम्,lesson-03 nouns
03,jñānam,cognition; knowledge,"Derived from the verbal root <span class=""translit"">jñā</span> “cognize.”",noun,jñāna-,n,sg,1,,,,,,,ज्ञानम्,lesson-03 nouns
03,dānám,"gift, giving","Derived from the verbal root <span class=""translit"">dā</span> “give.”",noun,dāná-,n,sg,1,,,,,,,दानम्,lesson-03 nouns
03,vacanám,statement; expression,"Derived from the verbal root <span class=""translit"">vac</span> “speak.”",noun,vacaná-,n,sg,1,,,,,,,वचनम्,lesson-03 nouns
03,mū́lam,root; base,,noun,mū́la-,n,sg,1,,,,,,,मूलम्,lesson-03 nouns
03,vr̥kṣáḥ,tree,,noun,vr̥kṣá-,m,sg,1,,,,,,,वृक्षः,lesson-03 nouns
03,rátnam,"gem, jewel",,noun,ratná-,n,sg,1,,,,,,,रत्नम्,lesson-03 nouns
03,gr̥hám,house,,noun,gr̥há-,n,sg,1,,,,,,,गृहम्,lesson-03 nouns
03,śábdaḥ,sound; word,,noun,śábda-,m,sg,1,,,,,,,शब्दः,lesson-03 nouns
03,dēváḥ,god; king,,noun,dēvá-,m,sg,1,,,,,,,देवः,lesson-03 nouns
03,púruṣaḥ,person,,noun,púruṣa-,m,sg,1,,,,,,,पुरुषः,lesson-03 nouns
03,gajaḥ,elephant,,noun,gaja-,m,sg,1,,,,,,,गजः,lesson-03 nouns
03,vánam,forest,,noun,vána-,n,sg,1,,,,,,,वनम्,lesson-03 nouns
03,nŕ̥paḥ,king,"This is actually a compound, meaning “protector (<span class=""translit"">pā-</span>) of men (<span class=""translit"">nr̥-</span>).”",noun,nŕ̥pa-,m,sg,1,,,,,,,नृपः,lesson-03 nouns
03,púṣpam,flower,,noun,púṣpa-,n,sg,1,,,,,,,पुष्पम्,lesson-03 nouns
03,kusumam,flower,,noun,kusuma-,n,sg,1,,,,,,,कुसुमम्,lesson-03 nouns
03,pā́daḥ,foot; quarter,,noun,pā́da-,m,sg,1,,,,,,,पादः,lesson-03 nouns
03,jalám,water,,noun,jalá-,n,sg,1,,,,,,,जलम्,lesson-03 nouns
03,ācāryáḥ,teacher,,noun,ācāryá-,m,sg,1,,,,,,,आचार्यः,lesson-03 nouns
03,śiṣyaḥ,student,"LIterally “one who is to be taught,” from the verbal root <span class=""translit"">śās</span>.",noun,śiṣya-,m,sg,1,,,,,,,शिष्यः,lesson-03 nouns
