Word (ISO 15919),Meaning,Notes,Class,Stems,Gender,Number,Case,Person,Padam,Root,Preverbs,Tense-Mood,Class,Word (Dēvanāgarī),Anki Tags
18,sādhúḥ,good,,adj,"sādhú-, sādhvī́-",m,sg,,,,,,,,साधुः,lesson-18 adjectives
18,páram,after (with abl.),,adp,,,,,,,,,,,परम्,lesson-18 adpositions
18,paścā́t,after (with abl.),,adp,,,,,,,,,,,पश्चात्,lesson-18 adpositions
18,mánaḥ,"mind, heart",,noun,mánas-,n,sg,,,,,,,,मनः,lesson-18 nouns
18,ā́yuḥ,"life, lifespan",,noun,ā́yus-,n,sg,,,,,,,,आयुः,lesson-18 nouns
18,sarpíḥ,ghee (clarified butter),,noun,sarpís-,n,sg,,,,,,,,सर्पिः,lesson-18 nouns
18,cḗtaḥ,"mind, heart",,noun,cḗtas-,n,sg,,,,,,,,चेतः,lesson-18 nouns
18,suhŕ̥t,friend,,noun,suhŕ̥d-,m,sg,,,,,,,,सुहृत्,lesson-18 nouns
18,hŕ̥dayam,heart,,noun,hŕ̥daya-,n,sg,,,,,,,,हृदयम्,lesson-18 nouns
18,dík,"sky, direction",,noun,díś-,f,sg,,,,,,,,दिक्,lesson-18 nouns
18,páyaḥ,"water, milk, liquid",,noun,páyas-,n,sg,,,,,,,,पयः,lesson-18 nouns
18,vēdáḥ,(sacred) knowledge; the Vedic text(s),,noun,vēdá-,m,sg,,,,,,,,वेदः,lesson-18 nouns
18,áṅgam,"part, element, component, limb",,noun,áṅga-,n,sg,,,,,,,,अङ्गम्,lesson-18 nouns
18,śā́khā,branch,,noun,śā́khā-,f,sg,,,,,,,,शाखा,lesson-18 nouns
18,r̥tvík,sacrificial priest,,noun,r̥tvíj-,m,sg,,,,,,,,ऋत्विक्,lesson-18 nouns
18,hánti,he/she/it strikes,,verb,,,sg,,3rd,parasmai,han,,laṭ,adadi,हन्ति,lesson-18 verbs::class-02
18,ā́nayati,he/she/it brings,,verb,,,sg,,3rd,parasmai,nī,ā,laṭ,bhvadi,आनयति,lesson-18 verbs::class-01
18,gr̥hṇā́ti,"he/she/it takes, grasps",,verb,,,sg,,3rd,parasmai,grah,,laṭ,kryadi,गृह्णाति,lesson-18 verbs::class-09
