Word (ISO 15919),Meaning,Notes,Class,Stems,Gender,Number,Case,Person,Padam,Root,Preverbs,Tense-Mood,Class,Word (Dēvanāgarī),Anki Tags
07,yadā́,when (relative),,adv,,,,,,,,,,,यदा,lesson-07 adverbs::relative
07,tadā́,then,,adv,,,,,,,,,,,तदा,lesson-07 adverbs
07,kadā́,when?,,adv,,,,,,,,,,,कदा,lesson-07 adverbs::interrogative
07,yáthā,"as, like (relative adverb of manner)",,adv,,,,,,,,,,,यथा,lesson-07 adverbs::relative
07,táthā,"so, in such a way (adverb of manner)",,adv,,,,,,,,,,,तथा,lesson-07 adverbs
07,kathám,how?,,adv,,,,,,,,,,,कथम्,lesson-07 adverbs::interrogative
07,yádi,if,,adv,,,,,,,,,,,यदि,lesson-07 adverbs::relative
07,tárhi,"then (correlative with <span class=""translit"">yádi</span>)",,adv,,,,,,,,,,,तर्हि,lesson-07 adverbs
07,yátra,"where, in which place (relative)",,adv,,,,,,,,,,,यत्र,lesson-07 adverbs::relative
07,tátra,"there, in that place",,adv,,,,,,,,,,,तत्र,lesson-07 adverbs
07,sárvam,"all, each, every",,pron,sárva-,n,sg,1,,,,,,,सर्वम्,lesson-07 pronouns
07,víśvam,"whole, all",,pron,víśva-,n,sg,1,,,,,,,विश्वम्,lesson-07 pronouns
07,anyát,"other, else",,pron,anyá-,n,sg,1,,,,,,,अन्यत्,lesson-07 pronouns
07,ítarat,"other, different",,pron,ítara-,n,sg,1,,,,,,,इतरत्,lesson-07 pronouns
07,tát,that,,pron,tá-,n,sg,1,,,,,,,तत्,lesson-07 pronouns
07,yát,"which, that (relative)",,pron,yá-,n,sg,1,,,,,,,यत्,lesson-07 pronouns
07,ētát,this,,pron,ētá-,n,sg,1,,,,,,,एतत्,lesson-07 pronouns
07,kím,what? who?,,pron,ká-,n,sg,1,,,,,,,किम्,lesson-07 pronouns
