Word (ISO 15919),Meaning,Notes,Class,Stems,Gender,Number,Case,Person,Padam,Root,Preverbs,Tense-Mood,Class,Word (Dēvanāgarī),Anki Tags
21,sadr̥śaḥ,similar (to + instr. or <i>pūrvapadam</i>),,adj,sadr̥śa-,m,sg,1,,,,,,,सदृशः,lesson-21 adjectives
21,yáthāśakti,to the best of one’s ability,"An <span class=""translit"">avyayībhāvaḥ</span> compound.",adv,,,,,,,,,,,यथाशक्ति,lesson-21 adverbs
21,yáthāyatham,properly,"An <span class=""translit"">avyayībhāvaḥ</span> compound.",adv,,,,,,,,,,,यथायथम्,lesson-21 adverbs
21,yáthāvidhi,according to the rules,"An <span class=""translit"">avyayībhāvaḥ</span> compound.",adv,,,,,,,,,,,यथाविधि,lesson-21 adverbs
21,yāvajjīvám,as long as one lives,"An <span class=""translit"">avyayībhāvaḥ</span> compound.",adv,,,,,,,,,,,यावज्जीवम्,lesson-21 adverbs
21,kanyā́,"young woman, daughter",,noun,kanyā́-,f,sg,1,,,,,,,कन्या,lesson-21 nouns
21,gṓcaraḥ,"domain, range",,noun,gṓcara-,m,sg,1,,,,,,,गोचरः,lesson-21 nouns
21,dŕ̥ṣṭiḥ,"sight, vision",,noun,dŕ̥ṣṭi-,f,sg,1,,,,,,,दृष्टिः,lesson-21 nouns
21,saṁskāraḥ,"preparation, ritual, rite",,noun,saṁskāra-,m,sg,1,,,,,,,संस्कारः,lesson-21 nouns
21,śátruḥ,enemy,,noun,śátru-,m,sg,1,,,,,,,शत्रुः,lesson-21 nouns
21,jágat,the world,,noun,jágat-,n,sg,1,,,,,,,जगत्,lesson-21 nouns
21,varṣáḥ,"rainy season, monsoon, year",,noun,varṣáḥ,m,sg,1,,,,,,,वर्षः,lesson-21 nouns
21,niścayaḥ,"determination, ascertainment",,noun,niścaya-,m,sg,1,,,,,,,निश्चयः,lesson-21 nouns
21,viśēṣaḥ,"particular, difference, distinction",,noun,viśēṣa-,m,sg,1,,,,,,,विशेषः,lesson-21 nouns
21,jātiḥ,"class, caste, group",,noun,jāti-,f,sg,1,,,,,,,जातिः,lesson-21 nouns
21,pátati,"he/she/it falls, flies",,verb,,,sg,,3rd,parasmai,pat,,laṭ,bhvadi,पतति,lesson-21 verbs::class-01
21,práśaṁsati,"he/she/it praises, commends",,verb,,,sg,,3rd,parasmai,śas,pra,laṭ,bhvadi,प्रशंसति,lesson-21 verbs::class-01
21,krī́ḍati,he/she/it plays,,verb,,,sg,,3rd,parasmai,krīḍ,,laṭ,bhvadi,क्रीडति,lesson-21 verbs::class-01
21,útpadyatē,"he/she/it arises, comes into being",,verb,,,sg,,3rd,atmane,pad,ut,laṭ,divadi,उत्पद्यते,lesson-21 verbs::class-04
21,niścinōti,"determines, ascertains, certifies",,verb,,,sg,,3rd,parasmai,ci,niḥ,laṭ,svadi,निश्चिनोति,lesson-21 verbs::class-05
