Word (ISO 15919),Meaning,Notes,Class,Stems,Gender,Number,Case,Person,Padam,Root,Preverbs,Tense-Mood,Class,Word (Dēvanāgarī),Anki Tags
20,pravīṇaḥ,"skilfull, clever, conversant",,adj,"pravīṇa-, pravīṇā-",m,sg,1,,,,,,,प्रवीणः,lesson-20 adjectives
20,bāḍham,"absolutely, definition, indeed",,adv,,,,,,,,,,,बाढम्,lesson-20 adverbs
20,atīva,"too much, a lot",,adv,,,,,,,,,,,अतीव,lesson-20 adverbs
20,atyantam,"too much, excessively, greatly",,adv,,,,,,,,,,,अत्यन्तम्,lesson-20 adverbs
20,suṣṭhu,very well,,adv,,,,,,,,,,,सुष्ठु,lesson-20 adverbs
20,sadā,always,,adv,,,,,,,,,,,सदा,lesson-20 adverbs
20,guṇáḥ,thread; (good) quality; virtue,,noun,guṇa-,m,sg,1,,,,,,,गुणः,lesson-20 nouns
20,dōṣaḥ,"fault, mistake; bad quality",,noun,,,,,,,,,,,दोषः,lesson-20 nouns
20,muniḥ,"sage, seer",,noun,muni-,m,sg,1,,,,,,,मुनिः,lesson-20 nouns
20,bhikṣuḥ,monk,,noun,bhikṣu-,m,sg,1,,,,,,,भिक्षुः,lesson-20 nouns
20,maunam,silence,,noun,mauna-,n,sg,1,,,,,,,मौनम्,lesson-20 nouns
20,śáṁsati,"he/she/it commends, praises, approves",,verb,,,sg,,3rd,parasmai,śaṁs,,laṭ,bhvadi,शंसति,lesson-20 verbs::class-01
20,níndati,"he/she/it censures, blames",,verb,,,sg,,3rd,parasmai,nind,,laṭ,bhvadi,निन्दति,lesson-20 verbs::class-01
20,hásati,he/she/it laughs,,verb,,,sg,,3rd,parasmai,has,,laṭ,bhvadi,हसति,lesson-20 verbs::class-01
20,pibati,he/she/it drinks,Note the irregular form of the present stem.,verb,,,sg,,3rd,parasmai,pā,,laṭ,bhvadi,पिबति,lesson-20 verbs::class-01
